192.168.16.1 - - [16/Mar/2024:11:32:34 +0000] "GET /api/ejemplo HTTP/1.1" 404 103 "-" "curl/8.4.0" kong_request_id: "702f7715434ca92d127e0f6616172713"
192.168.16.1 - - [16/Mar/2024:11:32:36 +0000] "GET /api/hello HTTP/1.1" 200 42 "-" "curl/8.4.0" kong_request_id: "564f5b731cfabf34692e623bf2fe5c09"
172.31.0.1 - - [17/Mar/2024:21:12:13 +0000] "GET /api/hello HTTP/1.1" 404 243 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "3381d81426c80c49b38d6a3ff292bd48"
172.31.0.1 - - [17/Mar/2024:21:12:13 +0000] "GET /api/hello HTTP/1.1" 404 243 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "bf428e033896e4311a39d95db72b7b5a"
172.31.0.1 - - [17/Mar/2024:21:12:13 +0000] "GET /favicon.ico HTTP/1.1" 404 103 "http://localhost:8000/api/hello" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "3c321100f0fbcd3dcf04034507659540"
172.31.0.1 - - [17/Mar/2024:21:12:18 +0000] "GET / HTTP/1.1" 404 243 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "3746245360d9f71e65c0a5033506e50a"
192.168.0.1 - - [17/Mar/2024:21:15:48 +0000] "GET / HTTP/1.1" 404 243 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "e180cb07e3a5c76b0ad25f7173ebfe02"
192.168.192.1 - - [17/Mar/2024:21:48:57 +0000] "GET /api/votes HTTP/1.1" 500 45 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36" kong_request_id: "0434f6704722415247fad80e97b3a525"
192.168.192.1 - - [17/Mar/2024:21:49:28 +0000] "GET /api/hello HTTP/1.1" 404 103 "-" "curl/8.4.0" kong_request_id: "28570843afca06245dc76749675ab644"
192.168.192.1 - - [17/Mar/2024:21:50:05 +0000] "GET /api/votes HTTP/1.1" 500 45 "-" "curl/8.4.0" kong_request_id: "fe1010259a77d870d40cc461a8536206"
192.168.208.1 - - [17/Mar/2024:21:55:52 +0000] "GET /api/votes HTTP/1.1" 401 96 "-" "curl/8.4.0" kong_request_id: "8eb6e215e0017d78a93a6011696ea905"
192.168.208.1 - - [17/Mar/2024:21:56:03 +0000] "GET /api/votes HTTP/1.1" 401 96 "-" "curl/8.4.0" kong_request_id: "2bac87265318eb6644be6409f3226564"
192.168.208.1 - - [17/Mar/2024:21:56:46 +0000] "-H /api/votes HTTP/1.1" 404 103 "-" "curl/8.4.0" kong_request_id: "1e0beb22f4c9092c8c185863fc1d0c77"
192.168.208.1 - - [17/Mar/2024:21:57:01 +0000] "GET /api/votes HTTP/1.1" 401 96 "-" "curl/8.4.0" kong_request_id: "44cfbd3ae923c02f41cc436f9bc5ae44"
